,rank,region,team,opponent,group,owner,bid
2,13,South,North Texas Mean Green,Purdue Boilermakers,1,Andreas,60
3,10,South,Virginia Tech Hokies,Florida Gators,1,Ryan,70
4,3,West,Texas Longhorns,Abilene Christian Wildcats,1,Tyler,170
5,11,South,Utah State Aggies,Texas Tech Red Raiders,1,Ryan,80
6,9,South,Wisconsin Badgers,North Carolina Tar Heels,1,Tyler,105
7,1,East,Gonzaga Bulldogs,Mount St. Mary's/Texas Southern,1,Guolin,290
8,15,West,Iona Gaels,Alabama Crimson Tide,1,Tyler,55
9,14,Midwest,Morehead State Eagles,West Virginia Mountaineers,1,Kellie,60
10,12,East,UC Santa Barbara Gauchos,Creighton Bluejays,1,Tyler,60
11,2,East,Iowa Hawkeyes,Grand Canyon Antelopes,1,Matt,250
12,7,Midwest,Clemson Tigers,Rutgers Scarlet Knights,1,Sean,95
13,16,South,Hartford Hawks,Baylor Bears,1,Kellie,50
14,6,West,BYU Cougars,Wichita St./Drake,1,Kelly,150
15,4,South,Purdue Boilermakers,North Texas Mean Green,1,Ryan,140
16,5,West,Colorado Buffaloes,Georgetown Hoyas,1,Kellie,150
17,8,East,Oklahoma Sooners,Missouri Tigers,1,Tyler,105
18,5,Midwest,Tennessee Volunteers,Oregon State Beavers,2,Sean,170
19,3,East,Kansas Jayhawks,Eastern Washington Eagles,2,Andreas,190
20,12,South,Winthrop Eagles,Villanova Wildcats,2,Tyler,75
21,10,Midwest,Rutgers Scarlet Knights,Clemson Tigers,2,Andreas,140
22,6,Midwest,San Diego State Aztecs,Syracuse Orange,2,Sean,150
23,15,East,Grand Canyon Antelopes,Iowa Hawkeyes,2,Andreas,55
24,13,East,Ohio Bobcats,Virginia Cavaliers,2,Kellie,75
25,9,Midwest,Georgia Tech Yellow Jackets,Loyola Chicago Ramblers,2,Sean,95
26,11,West,UCLA Bruins,BYU Cougars,2,Kelly,120
27,7,East,Oregon Ducks,VCU Rams,2,Guolin,110
28,14,West,Abilene Christian Wildcats,Texas Longhorns,2,Ryan,60
29,8,Midwest,Loyola Chicago Ramblers,Georgia Tech Yellow Jackets,2,Andreas,110
30,4,East,Virginia Cavaliers,Ohio Bobcats,2,Andreas,150
31,2,West,Alabama Crimson Tide,Iona Gaels,2,Kelly,235
32,16,West,Texas Southern Tigers,Michigan Wolverines,2,Tyler,65
33,1,Midwest,Illinois Fighting Illini,Drexel Dragons,2,Guolin,350
34,14,East,Eastern Washington Eagles,Kansas Jayhawks,3,Kellie,65
35,11,Midwest,Syracuse Orange,San Diego State Aztecs,3,Jackson,120
36,10,West,Maryland Terrapins,UConn Huskies,3,Sean,85
37,3,South,Arkansas Razorbacks,Colgate Raiders,3,Matt,170
38,8,West,LSU Tigers,St. Bonaventure Bonnies,3,Matt,110
39,13,West,UNC Greensboro Spartans,Florida State Seminoles,3,Kellie,60
40,15,South,Oral Roberts Golden Eagles,Ohio State Buckeyes,3,Kellie,60
41,2,Midwest,Houston Cougars,Cleveland State Vikings,3,Kelly,240
42,9,West,St. Bonaventure Bonnies,LSU Tigers,3,Andreas,90
43,12,West,Georgetown Hoyas,Colorado Buffaloes,3,Ryan,85
44,5,East,Creighton Bluejays,UC Santa Barbara Gauchos,3,Sean,150
45,1,South,Baylor Bears,Hartford Hawks,3,Ryan,255
46,4,West,Florida State Seminoles,UNC Greensboro Spartans,3,Tyler,150
47,6,South,Texas Tech Red Raiders,Utah State Aggies,3,Sean,110
48,16,Midwest,Drexel Dragons,Illinois Fighting Illini,3,Kellie,55
49,7,West,UConn Huskies,Maryland Terrapins,3,Ryan,135
50,15,Midwest,Cleveland State Vikings,Houston Cougars,4,Kellie,60
51,3,Midwest,West Virginia Mountaineers,Morehead State Eagles,4,Kellie,155
52,1,West,Michigan Wolverines,Norfolk St./Appalachian St.,4,Jackson,110
53,11,East,Drake Bulldogs,USC Trojans,4,Jackson,55
54,13,Midwest,Liberty Flames,Oklahoma State Cowboys,4,Jackson,110
65,7,South,Florida Gators,Virginia Tech Hokies,4,Andy,115
55,4,Midwest,Oklahoma State Cowboys,Liberty Flames,4,Matt,115
56,6,East,USC Trojans,Michigan St./UCLA,4,Andy,100
57,16,East,Norfolk State Spartans,Gonzaga Bulldogs,4,Kellie,45
58,12,Midwest,Oregon State Beavers,Tennessee Volunteers,4,Jackson,50
59,9,East,Missouri Tigers,Oklahoma Sooners,4,Kelly,80
60,2,South,Ohio State Buckeyes,Oral Roberts Golden Eagles,4,Matt,125
61,14,South,Colgate Raiders,Arkansas Razorbacks,4,Guolin,65
62,8,South,North Carolina Tar Heels,Wisconsin Badgers,4,Jackson,70
63,5,South,Villanova Wildcats,Winthrop Eagles,4,Jackson,80
64,10,East,VCU Rams,Oregon Ducks,4,Jackson,200
