,rank,region,team,opponent,group,owner,bid
2,13,South,North Texas Mean Green,Purdue Boilermakers,1,Peilin,45
3,10,South,Virginia Tech Hokies,Florida Gators,1,Aniket,85
4,3,West,Texas Longhorns,Abilene Christian Wildcats,1,Mark,200
5,11,South,Utah State Aggies,Texas Tech Red Raiders,1,Shawn,70
6,9,South,Wisconsin Badgers,North Carolina Tar Heels,1,Brandon,60
7,1,East,Gonzaga Bulldogs,Mount St. Mary's/Texas Southern,1,Aniket,365
8,15,West,Iona Gaels,Alabama Crimson Tide,1,Shawn,45
9,14,Midwest,Morehead State Eagles,West Virginia Mountaineers,1,Shawn,45
10,12,East,UC Santa Barbara Gauchos,Creighton Bluejays,1,Brandon,65
11,2,East,Iowa Hawkeyes,Grand Canyon Antelopes,1,James,280
12,7,Midwest,Clemson Tigers,Rutgers Scarlet Knights,1,Peilin,120
13,16,South,Hartford Hawks,Baylor Bears,1,Shawn,40
14,6,West,BYU Cougars,Wichita St./Drake,1,James,130
17,4,South,Purdue Boilermakers,North Texas Mean Green,1,Mark,190
18,5,West,Colorado Buffaloes,Georgetown Hoyas,1,Peilin,90
19,8,East,Oklahoma Sooners,Missouri Tigers,1,Aniket,100
20,5,Midwest,Tennessee Volunteers,Oregon State Beavers,2,Peilin,160
21,3,East,Kansas Jayhawks,Eastern Washington Eagles,2,Mark,245
22,12,South,Winthrop Eagles,Villanova Wildcats,2,James,90
23,10,Midwest,Rutgers Scarlet Knights,Clemson Tigers,2,Brandon,85
24,6,Midwest,San Diego State Aztecs,Syracuse Orange,2,James,130
25,15,East,Grand Canyon Antelopes,Iowa Hawkeyes,2,Brandon,45
26,13,East,Ohio Bobcats,Virginia Cavaliers,2,Mark,55
27,9,Midwest,Georgia Tech Yellow Jackets,Loyola Chicago Ramblers,2,James,100
28,11,West,UCLA Bruins,BYU Cougars,2,Brandon,65
29,7,East,Oregon Ducks,VCU Rams,2,Peilin,115
30,14,West,Abilene Christian Wildcats,Texas Longhorns,2,James,50
31,8,Midwest,Loyola Chicago Ramblers,Georgia Tech Yellow Jackets,2,Mark,90
32,4,East,Virginia Cavaliers,Ohio Bobcats,2,Peilin,235
33,2,West,Alabama Crimson Tide,Iona Gaels,2,Peilin,280
34,16,West,Texas Southern Tigers,Michigan Wolverines,2,Shawn,45
35,1,Midwest,Illinois Fighting Illini,Drexel Dragons,2,Aniket,245
36,14,East,Eastern Washington Eagles,Kansas Jayhawks,3,James,50
37,11,Midwest,Syracuse Orange,San Diego State Aztecs,3,Brandon,75
38,10,West,Maryland Terrapins,UConn Huskies,3,Aniket,85
39,3,South,Arkansas Razorbacks,Colgate Raiders,3,Mark,215
40,8,West,LSU Tigers,St. Bonaventure Bonnies,3,Mark,100
41,13,West,UNC Greensboro Spartans,Florida State Seminoles,3,Brandon,55
42,15,South,Oral Roberts Golden Eagles,Ohio State Buckeyes,3,Aniket,50
43,2,Midwest,Houston Cougars,Cleveland State Vikings,3,Brandon,235
44,9,West,St. Bonaventure Bonnies,LSU Tigers,3,James,100
45,12,West,Georgetown Hoyas,Colorado Buffaloes,3,Mark,75
46,5,East,Creighton Bluejays,UC Santa Barbara Gauchos,3,Brandon,85
47,1,South,Baylor Bears,Hartford Hawks,3,Peilin,215
48,4,West,Florida State Seminoles,UNC Greensboro Spartans,3,James,130
49,6,South,Texas Tech Red Raiders,Utah State Aggies,3,Brandon,85
50,16,Midwest,Drexel Dragons,Illinois Fighting Illini,3,Mark,55
51,7,West,UConn Huskies,Maryland Terrapins,3,Aniket,70
52,15,Midwest,Cleveland State Vikings,Houston Cougars,4,Shawn,45
53,3,Midwest,West Virginia Mountaineers,Morehead State Eagles,4,Shawn,125
54,1,West,Michigan Wolverines,Norfolk St./Appalachian St.,4,Shawn,240
55,11,East,Drake Bulldogs,USC Trojans,4,Brandon,60
56,13,Midwest,Liberty Flames,Oklahoma State Cowboys,4,Shawn,60
57,7,South,Florida Gators,Virginia Tech Hokies,4,James,90
58,4,Midwest,Oklahoma State Cowboys,Liberty Flames,4,Shawn,140
59,6,East,USC Trojans,Michigan St./UCLA,4,Aniket,95
60,16,East,Norfolk State Spartans,Gonzaga Bulldogs,4,Shawn,45
61,12,Midwest,Oregon State Beavers,Tennessee Volunteers,4,Brandon,70
62,9,East,Missouri Tigers,Oklahoma Sooners,4,Brandon,60
63,2,South,Ohio State Buckeyes,Oral Roberts Golden Eagles,4,Shawn,200
64,14,South,Colgate Raiders,Arkansas Razorbacks,4,Shawn,55
65,8,South,North Carolina Tar Heels,Wisconsin Badgers,4,Brandon,65
66,5,South,Villanova Wildcats,Winthrop Eagles,4,Aniket,100
67,10,East,VCU Rams,Oregon Ducks,4,Brandon,65
